,an,NO_SEQ_COLL,DT_ACCDN,heure_accdn,JR_SEMN_ACCDN,gravite,NB_MORTS,NB_BLESSES_GRAVES,NB_BLESSES_LEGERS,NB_VICTIMES_TOTAL,NB_VEH_IMPLIQUES_ACCDN,NB_DECES_PIETON,NB_BLESSES_PIETON,NB_VICTIMES_PIETON,NB_DECES_MOTO,NB_BLESSES_MOTO,NB_VICTIMES_MOTO,NB_DECES_VELO,NB_BLESSES_VELO,NB_VICTIMES_VELO,CD_MUNCP,REG_ADM,MRC,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,NO_ROUTE,CD_PNT_CDRNL_ROUTE,BORNE_KM_ACCDN,NB_METRE_DIST_ACCD,CD_PNT_CDRNL_REPRR,VITESSE_AUTOR,CD_GENRE_ACCDN,CD_SIT_PRTCE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,CD_CATEG_ROUTE,CD_ETAT_CHASS,CD_ASPCT_ROUTE,CD_LOCLN_ACCDN,CD_POSI_ACCDN,CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_COND_METEO,nb_automobile_camion_leger,nb_camionLourd_tractRoutier,nb_outil_equipement,nb_tous_autobus_minibus,nb_bicyclette,nb_cyclomoteur,nb_motocyclette,nb_taxi,nb_urgence,nb_motoneige,nb_VTT,nb_autres_types,nb_veh_non_precise,address,lat,lon
2,2015,2015 _ 3,2015-02-12,09:00:00-09:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,AV BELANGER PASSAGE PIETON,1.0,PASS NIV VOIE FERR ET TRAV PIETON,,,,,,,34.0,,17.0,1.0,2.0,19.0,,11.0,35.0,,2.0,,17.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1 AV BELANGER PASSAGE PIETON,0.0,0.0
17618,2015,2015 _ 17619,2015-07-27,14:00:00-14:59:00,LU,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,AUT 540 ACC PONT QUEBEC,,,540.0,,,,,,72.0,,14.0,1.0,9.0,12.0,,23.0,37.0,,1.0,,11.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1 AUT 540 ACC PONT QUEBEC,0.0,0.0
19786,2015,2015 _ 19787,2015-06-13,Non précisé,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),2600.0,,BD LAURIER STAT,,,,,,,,,31.0,,11.0,1.0,3.0,21.0,,11.0,99.0,,9.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2600 BD LAURIER STAT,0.0,0.0
20930,2015,2015 _ 20931,2015-03-31,19:00:00-19:59:00,MA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),418.0,,47 RUE O,1.0,4 AV,,,,35.0,O,50.0,31.0,,16.0,2.0,3.0,14.0,,11.0,33.0,,2.0,,17.0,1,0,0,0,0,0,0,0,0,0,0,0,1,418 47 RUE O,44.0717643,1.8002014
30212,2015,2015 _ 30213,2015-07-18,14:00:00-14:59:00,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,TURNBULL,1.0,ST JEAN,,,,10.0,S,50.0,31.0,,11.0,1.0,3.0,13.0,,13.0,33.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 TURNBULL,28.7102713,-80.8622766
30692,2015,2015 _ 30693,2015-01-22,08:00:00-08:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,AV PAINCHAUD,,,,,,,,,31.0,,,1.0,,,,,,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 AV PAINCHAUD,46.7874837,-71.2592719
31690,2015,2015 _ 31691,2015-09-03,16:00:00-16:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,AUT HENRI IV,2.0,PONT PIERRE LAPORTE,73.0,,,,S,100.0,31.0,,11.0,1.0,9.0,12.0,,11.0,36.0,,3.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 AUT HENRI IV,0.0,0.0
32941,2015,2015 _ 32942,2015-11-08,08:00:00-08:59:00,DI,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,,,,,,,,,,99.0,,11.0,1.0,3.0,21.0,,11.0,99.0,,2.0,,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,34.220389,70.3800314
32942,2015,2015 _ 32943,2015-01-07,11:00:00-11:59:00,ME,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,ALEXANDRE DUCHESNEAU,1.0,PIERRE ALBERT PICARD,,,,2.0,E,,31.0,9.0,99.0,,2.0,14.0,,11.0,32.0,,,,99.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1 ALEXANDRE DUCHESNEAU,46.8565055,-71.3544531
32943,2015,2015 _ 32944,2015-01-08,16:00:00-16:59:00,JE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),235.0,,WELLIE PICARD WENDAKE,,,,,,,,,31.0,,18.0,2.0,2.0,14.0,,11.0,99.0,,2.0,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,235 WELLIE PICARD WENDAKE,0.0,0.0
